Distance to run: 100, step: 1
216:(x,y) = (-5.05829 , 7.50829)
217:(x,y) = (-4.37629 , 6.77694)
218:(x,y) = (-3.78851 , 7.58595)
219:(x,y) = (-3.25859 , 6.7379)
220:(x,y) = (-2.8046 , 5.8469)
221:(x,y) = (-3.08024 , 4.88564)
222:(x,y) = (-2.49245 , 5.69465)
223:(x,y) = (-2.75127 , 6.66058)
224:(x,y) = (-2.40925 , 7.60027)
225:(x,y) = (-3.09125 , 8.33163)
226:(x,y) = (-2.98672 , 9.32615)
227:(x,y) = (-3.05648 , 10.3237)
228:(x,y) = (-3.55648 , 11.1897)
229:(x,y) = (-4.53085 , 11.4147)
230:(x,y) = (-4.6006 , 12.4123)
231:(x,y) = (-3.6006 , 12.4123)
232:(x,y) = (-2.83456 , 13.055)
233:(x,y) = (-3.14358 , 14.0061)
234:(x,y) = (-3.83823 , 14.7254)
235:(x,y) = (-3.80333 , 13.726)
236:(x,y) = (-2.85228 , 14.0351)
237:(x,y) = (-3.83997 , 14.1915)
238:(x,y) = (-3.64916 , 15.1731)
239:(x,y) = (-3.07558 , 15.9923)
240:(x,y) = (-3.84163 , 16.6351)
241:(x,y) = (-3.51606 , 17.5806)
242:(x,y) = (-2.65003 , 17.0806)
243:(x,y) = (-2.78921 , 16.0903)
244:(x,y) = (-3.69551 , 15.6677)
245:(x,y) = (-3.01351 , 14.9363)
246:(x,y) = (-2.89165 , 15.9289)
247:(x,y) = (-3.61099 , 16.6235)
248:(x,y) = (-4.35413 , 17.2927)
249:(x,y) = (-3.36932 , 17.4663)
250:(x,y) = (-3.16141 , 18.4445)
251:(x,y) = (-2.90259 , 19.4104)
252:(x,y) = (-3.62193 , 20.1051)
253:(x,y) = (-2.62437 , 20.1748)
254:(x,y) = (-2.00871 , 20.9628)
255:(x,y) = (-1.8179 , 21.9445)
256:(x,y) = (-2.54925 , 22.6264)
257:(x,y) = (-3.26859 , 23.3211)
258:(x,y) = (-4.26114 , 23.443)
259:(x,y) = (-4.48609 , 22.4686)
260:(x,y) = (-5.48365 , 22.5384)
261:(x,y) = (-6.23836 , 23.1944)
262:(x,y) = (-6.86768 , 23.9716)
263:(x,y) = (-7.6767 , 23.3838)
264:(x,y) = (-8.06743 , 22.4633)
265:(x,y) = (-8.77454 , 23.1704)
266:(x,y) = (-9.3902 , 23.9584)
267:(x,y) = (-9.47735 , 22.9622)
268:(x,y) = (-8.87554 , 22.1636)
269:(x,y) = (-8.70189 , 23.1484)
270:(x,y) = (-7.93585 , 22.5056)
271:(x,y) = (-7.18114 , 21.8495)
272:(x,y) = (-8.05576 , 22.3343)
273:(x,y) = (-7.71374 , 21.3946)
274:(x,y) = (-7.76607 , 22.3933)
275:(x,y) = (-6.76744 , 22.3409)
276:(x,y) = (-7.19006 , 23.2472)
277:(x,y) = (-6.534 , 24.002)
278:(x,y) = (-7.216 , 24.7333)
279:(x,y) = (-7.78958 , 25.5525)
280:(x,y) = (-7.27454 , 26.4096)
281:(x,y) = (-7.17001 , 27.4041)
282:(x,y) = (-6.86099 , 28.3552)
283:(x,y) = (-6.47026 , 29.2757)
284:(x,y) = (-6.43536 , 30.2751)
285:(x,y) = (-6.99456 , 31.1041)
286:(x,y) = (-7.82359 , 31.6633)
287:(x,y) = (-7.96277 , 32.6536)
288:(x,y) = (-8.1192 , 31.6659)
289:(x,y) = (-9.10083 , 31.4751)
290:(x,y) = (-9.78283 , 30.7437)
291:(x,y) = (-9.55787 , 31.7181)
292:(x,y) = (-8.69185 , 31.2181)
293:(x,y) = (-7.69322 , 31.1658)
294:(x,y) = (-8.65915 , 31.4246)
295:(x,y) = (-9.45778 , 30.8228)
296:(x,y) = (-10.1269 , 31.5659)
297:(x,y) = (-9.72018 , 30.6524)
298:(x,y) = (-10.2648 , 31.4911)
299:(x,y) = (-9.60876 , 30.7363)
300:(x,y) = (-8.63846 , 30.9783)
301:(x,y) = (-7.93135 , 30.2712)
302:(x,y) = (-7.9139 , 29.2713)
303:(x,y) = (-7.11526 , 29.8731)
304:(x,y) = (-7.58474 , 30.7561)
305:(x,y) = (-6.58717 , 30.8258)
306:(x,y) = (-6.65693 , 29.8283)
307:(x,y) = (-6.91575 , 30.7942)
308:(x,y) = (-6.31393 , 31.5928)
309:(x,y) = (-6.27903 , 30.5934)
310:(x,y) = (-6.90835 , 29.8163)
311:(x,y) = (-5.94709 , 29.5407)
312:(x,y) = (-4.94953 , 29.4709)
313:(x,y) = (-4.40489 , 28.6322)
314:(x,y) = (-3.78923 , 29.4202)
315:(x,y) = (-3.06989 , 28.7256)
316:(x,y) = (-2.69528 , 29.6528)
317:(x,y) = (-2.35326 , 30.5925)
318:(x,y) = (-2.07762 , 29.6312)
319:(x,y) = (-1.22046 , 29.1162)
320:(x,y) = (-1.35963 , 28.1259)
321:(x,y) = (-2.25842 , 28.5643)
322:(x,y) = (-2.11925 , 27.574)
323:(x,y) = (-2.36117 , 28.5443)
324:(x,y) = (-1.44067 , 28.935)
325:(x,y) = (-0.73356 , 28.2279)
326:(x,y) = (0.0544503 , 27.6123)
327:(x,y) = (-0.851858 , 28.0349)
328:(x,y) = (-1.21023 , 27.1013)
329:(x,y) = (-0.478872 , 26.4193)
330:(x,y) = (0.454709 , 26.0609)
331:(x,y) = (-0.252398 , 26.768)
332:(x,y) = (-1.06142 , 27.3558)
333:(x,y) = (-1.59133 , 28.2039)
334:(x,y) = (-0.884228 , 28.911)
335:(x,y) = (-1.57889 , 29.6303)
336:(x,y) = (-0.579495 , 29.5954)
337:(x,y) = (0.0765639 , 28.8407)
338:(x,y) = (-0.423436 , 27.9747)
339:(x,y) = (-0.181514 , 27.0044)
340:(x,y) = (-0.912868 , 26.3224)
341:(x,y) = (-1.27124 , 27.256)
342:(x,y) = (-1.30614 , 26.2566)
343:(x,y) = (-1.32359 , 27.2564)
344:(x,y) = (-0.735803 , 28.0654)
345:(x,y) = (-1.71395 , 27.8575)
346:(x,y) = (-1.5403 , 26.8727)
347:(x,y) = (-0.54578 , 26.7682)
348:(x,y) = (-1.25289 , 27.4753)
349:(x,y) = (-2.15168 , 27.0369)
350:(x,y) = (-3.11761 , 26.7781)
351:(x,y) = (-2.31897 , 27.3799)
352:(x,y) = (-2.93463 , 26.5919)
353:(x,y) = (-3.32536 , 27.5124)
354:(x,y) = (-2.35099 , 27.7374)
355:(x,y) = (-2.60981 , 26.7714)
356:(x,y) = (-2.09477 , 25.9143)
357:(x,y) = (-1.18847 , 25.4917)
358:(x,y) = (-0.963516 , 24.5173)
359:(x,y) = (-1.94832 , 24.3436)
360:(x,y) = (-2.90959 , 24.6193)
361:(x,y) = (-3.04876 , 23.629)
362:(x,y) = (-3.99981 , 23.32)
363:(x,y) = (-3.37049 , 22.5428)
364:(x,y) = (-2.45695 , 22.9496)
365:(x,y) = (-2.91094 , 22.0586)
366:(x,y) = (-2.78907 , 23.0511)
367:(x,y) = (-1.86189 , 23.4257)
368:(x,y) = (-2.83218 , 23.1838)
369:(x,y) = (-3.79811 , 22.925)
370:(x,y) = (-3.21032 , 22.116)
371:(x,y) = (-2.8683 , 21.1763)
372:(x,y) = (-2.28052 , 20.3673)
373:(x,y) = (-2.22818 , 21.3659)
374:(x,y) = (-2.52055 , 20.4096)
375:(x,y) = (-3.12237 , 19.6109)
376:(x,y) = (-3.99699 , 20.0958)
377:(x,y) = (-4.98953 , 20.2176)
378:(x,y) = (-5.67153 , 19.4863)
379:(x,y) = (-5.39589 , 18.525)
380:(x,y) = (-5.70491 , 17.574)
381:(x,y) = (-5.25092 , 18.465)
382:(x,y) = (-6.21685 , 18.2061)
383:(x,y) = (-6.77604 , 19.0352)
384:(x,y) = (-6.10691 , 19.7783)
385:(x,y) = (-6.98153 , 19.2935)
386:(x,y) = (-6.04184 , 19.6355)
387:(x,y) = (-5.06021 , 19.4447)
388:(x,y) = (-4.50102 , 20.2738)
389:(x,y) = (-3.95638 , 19.4351)
390:(x,y) = (-3.34072 , 20.2231)
391:(x,y) = (-4.09543 , 19.567)
392:(x,y) = (-3.87047 , 20.5414)
393:(x,y) = (-4.21249 , 19.6017)
394:(x,y) = (-3.46935 , 20.2709)
395:(x,y) = (-2.57834 , 19.8169)
396:(x,y) = (-3.26034 , 20.5482)
397:(x,y) = (-2.26171 , 20.4959)
398:(x,y) = (-2.94371 , 19.7645)
399:(x,y) = (-3.88923 , 19.439)
400:(x,y) = (-4.8636 , 19.214)
401:(x,y) = (-4.16894 , 19.9333)
402:(x,y) = (-3.16909 , 19.9508)
403:(x,y) = (-2.18747 , 20.1416)
404:(x,y) = (-2.86946 , 20.873)
405:(x,y) = (-3.12828 , 19.907)
406:(x,y) = (-3.56665 , 20.8058)
407:(x,y) = (-4.4802 , 21.2126)
408:(x,y) = (-4.10559 , 22.1398)
409:(x,y) = (-3.14433 , 21.8641)
410:(x,y) = (-3.02246 , 22.8567)
411:(x,y) = (-4.00061 , 22.6487)
412:(x,y) = (-3.84418 , 21.6611)
413:(x,y) = (-4.7102 , 22.1611)
414:(x,y) = (-3.97885 , 21.4791)
415:(x,y) = (-4.92437 , 21.1535)
416:(x,y) = (-3.92452 , 21.136)
417:(x,y) = (-4.79914 , 20.6512)
418:(x,y) = (-4.31433 , 21.5259)
419:(x,y) = (-4.00531 , 20.5748)
420:(x,y) = (-3.09177 , 20.9815)
421:(x,y) = (-3.4825 , 21.902)
422:(x,y) = (-2.54892 , 22.2604)
423:(x,y) = (-2.73973 , 23.242)
424:(x,y) = (-3.3133 , 22.4229)
425:(x,y) = (-2.85931 , 23.3139)
426:(x,y) = (-2.27153 , 22.5049)
427:(x,y) = (-2.77153 , 21.6388)
428:(x,y) = (-2.39692 , 20.7117)
429:(x,y) = (-3.38947 , 20.8335)
430:(x,y) = (-2.73341 , 20.0788)
431:(x,y) = (-1.73478 , 20.0265)
432:(x,y) = (-2.51192 , 19.3972)
433:(x,y) = (-1.82992 , 18.6658)
434:(x,y) = (-0.842236 , 18.8222)
435:(x,y) = (-1.56158 , 18.1276)
436:(x,y) = (-2.44452 , 17.6581)
437:(x,y) = (-1.44589 , 17.6058)
438:(x,y) = (-0.512314 , 17.9641)
439:(x,y) = (-1.36036 , 18.4941)
440:(x,y) = (-2.19903 , 17.9494)
441:(x,y) = (-1.28549 , 17.5427)
442:(x,y) = (-0.339968 , 17.2171)
443:(x,y) = (-1.0091 , 17.9603)
444:(x,y) = (-1.59688 , 18.7693)
445:(x,y) = (-1.12741 , 17.8863)
446:(x,y) = (-2.04096 , 17.4796)
447:(x,y) = (-1.04157 , 17.4447)
448:(x,y) = (-1.88024 , 17.9893)
449:(x,y) = (-1.96739 , 16.9931)
450:(x,y) = (-1.69176 , 16.0319)
451:(x,y) = (-0.960403 , 16.7139)
452:(x,y) = (-1.30242 , 15.7742)
453:(x,y) = (-0.700608 , 14.9756)
454:(x,y) = (0.260654 , 15.2512)
455:(x,y) = (1.25928 , 15.1989)
456:(x,y) = (0.789812 , 14.3159)
457:(x,y) = (1.57782 , 13.7002)
458:(x,y) = (1.03318 , 12.8616)
459:(x,y) = (1.72784 , 13.5809)
460:(x,y) = (1.02074 , 14.288)
461:(x,y) = (0.0304673 , 14.1488)
462:(x,y) = (0.749807 , 14.8435)
463:(x,y) = (0.0678087 , 14.1122)
464:(x,y) = (-0.709337 , 14.7415)
465:(x,y) = (-0.450518 , 13.7755)
466:(x,y) = (-0.467971 , 14.7754)
467:(x,y) = (-1.22268 , 14.1193)
468:(x,y) = (-1.01477 , 13.1412)
469:(x,y) = (-0.0535068 , 12.8655)
470:(x,y) = (0.931301 , 13.0392)
471:(x,y) = (0.211961 , 13.7339)
472:(x,y) = (0.978006 , 13.0911)
473:(x,y) = (1.96569 , 12.9346)
474:(x,y) = (1.19965 , 13.5774)
475:(x,y) = (1.25199 , 14.5761)
476:(x,y) = (1.57755 , 13.6305)
477:(x,y) = (2.53882 , 13.3549)
478:(x,y) = (3.27017 , 12.6729)
479:(x,y) = (3.88583 , 11.8849)
480:(x,y) = (3.37079 , 12.7421)
481:(x,y) = (2.9168 , 11.851)
482:(x,y) = (3.90449 , 11.6946)
483:(x,y) = (3.4505 , 10.8036)
484:(x,y) = (3.91997 , 11.6866)
485:(x,y) = (4.91252 , 11.8084)
486:(x,y) = (4.41252 , 10.9424)
487:(x,y) = (3.41495 , 11.0122)
488:(x,y) = (2.48137 , 10.6538)
489:(x,y) = (2.02738 , 11.5448)
490:(x,y) = (1.28424 , 10.8757)
491:(x,y) = (2.19778 , 10.4689)
492:(x,y) = (1.19839 , 10.5038)
493:(x,y) = (1.12864 , 9.50626)
494:(x,y) = (1.38745 , 10.4722)
495:(x,y) = (0.405828 , 10.2814)
496:(x,y) = (-0.5758 , 10.0906)
497:(x,y) = (0.201346 , 10.7199)
498:(x,y) = (0.803161 , 11.5185)
499:(x,y) = (1.77346 , 11.2766)
500:(x,y) = (2.69396 , 11.6673)
501:(x,y) = (3.14795 , 12.5583)
502:(x,y) = (2.61803 , 13.4064)
503:(x,y) = (3.57929 , 13.1308)
504:(x,y) = (4.16708 , 13.9398)
505:(x,y) = (3.47242 , 14.6591)
506:(x,y) = (4.01706 , 13.8204)
507:(x,y) = (3.19791 , 13.2469)
508:(x,y) = (2.7131 , 14.1215)
509:(x,y) = (2.04397 , 14.8646)
510:(x,y) = (1.08766 , 15.157)
511:(x,y) = (0.713057 , 16.0842)
512:(x,y) = (1.67898 , 16.343)
513:(x,y) = (2.57778 , 16.7814)
514:(x,y) = (3.57534 , 16.7116)
515:(x,y) = (4.20466 , 15.9345)
516:(x,y) = (4.11751 , 14.9383)
517:(x,y) = (3.55831 , 14.1092)
518:(x,y) = (2.98474 , 14.9284)
519:(x,y) = (2.7091 , 15.8897)
520:(x,y) = (2.01444 , 15.1703)
521:(x,y) = (2.98881 , 14.9454)
522:(x,y) = (3.68347 , 14.226)
523:(x,y) = (4.40281 , 14.9207)
524:(x,y) = (3.81502 , 15.7297)
525:(x,y) = (4.68105 , 16.2297)
526:(x,y) = (4.10747 , 15.4105)
527:(x,y) = (3.11978 , 15.2541)
528:(x,y) = (3.47815 , 16.1877)
529:(x,y) = (3.78717 , 15.2366)
530:(x,y) = (2.79097 , 15.3238)
531:(x,y) = (3.59999 , 14.736)
532:(x,y) = (2.86864 , 14.054)
533:(x,y) = (1.88701 , 14.2448)
534:(x,y) = (0.887011 , 14.2448)
535:(x,y) = (1.00888 , 13.2523)
536:(x,y) = (1.56807 , 12.4232)
537:(x,y) = (2.56427 , 12.3361)
538:(x,y) = (1.89514 , 13.0792)
539:(x,y) = (2.31776 , 12.1729)
540:(x,y) = (1.71594 , 12.9715)
541:(x,y) = (0.74157 , 13.1965)
542:(x,y) = (1.42357 , 13.9279)
543:(x,y) = (2.39386 , 14.1698)
544:(x,y) = (1.41949 , 13.9448)
545:(x,y) = (1.50665 , 12.9486)
546:(x,y) = (2.30529 , 12.3468)
547:(x,y) = (3.17131 , 11.8468)
548:(x,y) = (2.28836 , 12.3163)
549:(x,y) = (3.05441 , 11.6735)
550:(x,y) = (3.29633 , 12.6438)
551:(x,y) = (2.95431 , 11.7041)
552:(x,y) = (1.95431 , 11.7041)
553:(x,y) = (1.83244 , 10.7116)
554:(x,y) = (0.862144 , 10.9535)
555:(x,y) = (1.44993 , 10.1445)
556:(x,y) = (1.84066 , 9.22395)
557:(x,y) = (2.59537 , 9.88001)
558:(x,y) = (1.88826 , 10.5871)
559:(x,y) = (1.30048 , 9.7781)
560:(x,y) = (0.373295 , 9.4035)
561:(x,y) = (-0.625335 , 9.35116)
562:(x,y) = (-0.283315 , 10.2909)
563:(x,y) = (0.139303 , 11.1972)
564:(x,y) = (1.12957 , 11.058)
565:(x,y) = (0.804003 , 10.1125)
566:(x,y) = (-0.0151487 , 9.53889)
567:(x,y) = (0.423222 , 8.6401)
568:(x,y) = (0.0164858 , 7.72655)
569:(x,y) = (0.990856 , 7.5016)
570:(x,y) = (0.765905 , 8.47597)
571:(x,y) = (1.7362 , 8.71789)
572:(x,y) = (2.62721 , 9.17188)
573:(x,y) = (1.75259 , 9.65669)
574:(x,y) = (2.63553 , 10.1262)
575:(x,y) = (1.86949 , 9.48338)
576:(x,y) = (2.33896 , 8.60043)
577:(x,y) = (1.61962 , 7.90577)
578:(x,y) = (0.637995 , 7.71496)
579:(x,y) = (1.42601 , 7.0993)
580:(x,y) = (0.428442 , 7.02954)
581:(x,y) = (-0.326268 , 7.6856)
582:(x,y) = (-1.17432 , 7.15568)
583:(x,y) = (-0.176752 , 7.22544)
584:(x,y) = (0.566393 , 7.89457)
585:(x,y) = (1.51745 , 8.20359)
586:(x,y) = (2.16024 , 7.43754)
587:(x,y) = (1.26923 , 6.98355)
588:(x,y) = (1.64384 , 6.05637)
589:(x,y) = (2.38698 , 5.38724)
590:(x,y) = (3.06898 , 4.65589)
591:(x,y) = (4.0635 , 4.76041)
592:(x,y) = (3.28636 , 5.38973)
593:(x,y) = (4.1999 , 5.79647)
594:(x,y) = (4.74454 , 4.9578)
595:(x,y) = (4.06254 , 5.68915)
596:(x,y) = (4.1497 , 4.69296)
597:(x,y) = (3.22251 , 5.06757)
598:(x,y) = (3.75243 , 4.21952)
599:(x,y) = (2.80692 , 4.54509)
600:(x,y) = (3.75797 , 4.8541)
601:(x,y) = (4.46508 , 5.56121)
602:(x,y) = (5.14708 , 6.29256)
603:(x,y) = (5.85418 , 6.99967)
604:(x,y) = (6.22879 , 7.92685)
605:(x,y) = (6.84445 , 7.13884)
606:(x,y) = (6.1131 , 7.82084)
607:(x,y) = (5.59806 , 6.96367)
608:(x,y) = (4.60779 , 7.10285)
609:(x,y) = (3.6681 , 6.76083)
610:(x,y) = (2.73452 , 6.40246)
611:(x,y) = (3.73208 , 6.3327)
612:(x,y) = (4.67178 , 5.99068)
613:(x,y) = (5.25956 , 6.7997)
614:(x,y) = (4.65775 , 6.00106)
615:(x,y) = (4.38211 , 5.0398)
616:(x,y) = (4.9413 , 4.21076)
617:(x,y) = (3.94267 , 4.15843)
618:(x,y) = (4.84147 , 3.72006)
